     1	 98
     2	 99
     3	 98
     4	 77
     5	 69
     6	 70
     7	 68
     8	 70
     9	 68
    10	 68
    11	 68
    12	 69
    13	 68
    14	 68
    15	 69
    16	 68
    17	 69
    18	 69
    19	 68
    20	 67
    21	 67
    22	 69
    23	 68
    24	 68
    25	 69
    26	 70
    27	 68
    28	 68
    29	 68
    30	 69
    31	 68
    32	 68
    33	 67
    34	 69
    35	 69
    36	 70
    37	 69
    38	 68
    39	 68
    40	 68
    41	 69
    42	 68
    43	 67
    44	 69
    45	 70
    46	 67
    47	 68
    48	 68
    49	 68
    50	 67
    51	 69
    52	 68
    53	 69
    54	 69
    55	 69
    56	 69
    57	 68
    58	 67
    59	 67
    60	 70
    61	 68
    62	 68
    63	 91
    64	 98
    65	 98
    66	 99
    67	 98
    68	 99
