     1	 99
     2	 98
     3	 99
     4	 97
     5	 83
     6	 79
     7	 83
     8	 84
     9	 79
    10	 80
    11	 83
    12	 88
    13	 82
    14	 80
    15	 80
    16	 81
    17	 80
    18	 79
    19	 78
    20	 80
    21	 78
    22	 79
    23	 83
    24	 84
    25	 79
    26	 75
    27	 84
    28	 79
    29	 86
    30	 83
    31	 82
    32	 84
    33	 87
    34	 81
    35	 83
    36	 83
    37	 82
    38	 81
    39	 81
    40	 83
    41	 84
    42	 84
    43	 83
    44	 81
    45	 79
    46	 76
    47	 85
    48	 82
    49	 81
    50	 80
    51	 79
    52	 78
    53	 79
    54	 79
    55	 80
    56	 81
    57	 84
    58	 80
    59	 79
    60	 82
    61	 80
    62	 81
    63	 86
    64	 99
    65	 93
    66	 99
    67	 99
    68	 98
